Listing_Address,Zip_code,Listing_Status,Listing_Type,Price,Sold_Date,Num_Bedrooms,Num_Bathrooms,Sqft,Parking,Hoa_Fees,Year_Built
1348 N Wolcott Ave,,Sold,Single Family,765000,07/30/20,3,3,2400,Y,N/A,1889
2214 W Potomac Ave,,Sold,Townhouse,650000,03/05/19,3,3,2308,N,134,1920
1441 N Elk Grove Ave APT 3R,,Sold,Apartment,247500,12/10/18,,1,,N,100,1896
1243 N Marion Ct,,Sold,Single Family,500000,03/11/20,4,4,3500,Y,N/A,2020
1736 W Le Moyne St #2,,Sold,Condo,850000,02/18/19,3,3,2400,Y,102,2011
1630 W Julian St #3,,Sold,Condo,586500,06/23/19,,--,,N,198,2005
1219 N Marion Ct #1,,Sold,Single Family,765000,06/13/19,3,3,1520,Y,N/A,1880
1945 W Crystal St APT 1,,Sold,Apartment,2000,06/05/20,2,1,1400,Y,N/A,1992
1849 W North Ave UNIT 2,,Sold,Condo,415000,03/19/19,2,2,,N,210,1999
2039 W Crystal St #1,,Sold,Condo,535000,06/06/18,3,3,No Data,Y,146,1998
1342 N Wolcott Ave #3,,Sold,Condo,630000,06/05/19,3,3,2000,Y,221,1997
1939 W Evergreen Ave,,Sold,Multi Family,985000,07/06/20,4,4,No Data,Y,N/A,1988
1259 N Wood St APT 307,,Sold,Condo,423000,03/18/20,2,2,1200,Y,324,1997
1530 N Bell Ave,,Sold,Condo,495000,11/18/19,,--,,N,N/A,2002
2119 W Evergreen Ave APT 3W,,Sold,Condo,485000,07/31/18,2,2,1,Y,275,1997
1353 N Leavitt St #2,,Sold,Condo,472000,04/15/19,2,2,No Data,Y,182,Data
1641 W North Ave APT 2W,,Sold,Single Family,386000,11/22/18,,--,,N,170,1997
1238 N Hoyne Ave #1,,Sold,Condo,1055000,04/18/19,4,4,2710,Y,399,2011
1342 N Dean St APT 2,,Sold,Condo,317000,10/05/18,2,1,1100,Y,116,1997
2136 W Evergreen Ave APT 2B,,Sold,Condo,350000,06/17/20,2,2,1000,Y,232,1996
1637 W Beach Ave #1,,Sold,Condo,399000,03/11/20,2,2,1400,Y,160,1999
1429 N Paulina St #1S,,Sold,Condo,510000,12/06/19,3,3,2100,Y,130,1998
1630 W Le Moyne St #2,,Sold,Condo,750000,08/25/19,,--,,N,200,Data
1527 N Western Ave,,Sold,Apartment,790000,04/30/19,3,1,1400,Y,N/A,1897
1316 N Wicker Park Ave APT 4,,Sold,Condo,430000,02/12/20,2,2,1400,Y,250,2006
1619 W Le Moyne St APT 3,,Sold,Condo,399000,11/28/18,2,2,No Data,Y,125,2000
1850 W Division St APT 4D,,Sold,Condo,615000,07/11/19,2,2,2100,Y,467,2003
2042 Pierce #4,,Sold,Apartment,3400,05/15/20,3,2,1600,N,N/A,Data
1333 N Wolcott Ave #3,,Sold,Condo,740000,01/27/19,3,3,2800,Y,225,2004
1243 N Paulina St #1N,,Sold,Condo,500000,11/26/19,3,3,2100,Y,188,2001
1422 N Hoyne Ave #2,,Sold,Condo,400000,02/19/19,2,2,1583,Y,127,1901
1425 N Leavitt St #1,,Sold,Apartment,845000,04/13/20,2,2,,N,N/A,Data
1629 W Le Moyne St #2W,,Sold,Condo,380000,07/26/18,2,2,No Data,Y,92,1998
1530 N Damen Ave,,Sold,Single Family,9000000,09/20/18,,--,,N,N/A,Data
1520 N Leavitt St #2,,Sold,Condo,447500,07/02/18,2,2,,N,N/A,1995
None,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
None,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
None,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
